  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:29:15  03/05/2024 jbnv     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1000      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0224000E+00   6.8139145E-03  -7.3272309E+00   1.7739837E+00
   1.0253285E+00   1.0950541E-02  -7.2531552E+00   1.7726886E+00
   1.0289925E+00   1.0623643E-02  -7.2159848E+00   1.7717772E+00
   1.0319257E+00   1.0736964E-02  -7.1986179E+00   1.7714170E+00
   1.0355955E+00   1.0084817E-02  -7.1341338E+00   1.7709432E+00
   1.0392709E+00   5.2400809E-03  -7.0874357E+00   1.7701634E+00
   1.0422059E+00   1.1561884E-02  -7.0183620E+00   1.7691106E+00
   1.0458518E+00   1.6999533E-02  -6.9783368E+00   1.7680188E+00
   1.0487282E+00   1.1989805E-02  -6.9189668E+00   1.7676933E+00
   1.0523456E+00   9.2516942E-03  -6.9707327E+00   1.7675469E+00
   1.0559282E+00   9.5934020E-03  -6.8478026E+00   1.7669315E+00
   1.0587689E+00   7.3524690E-03  -6.7662377E+00   1.7659718E+00
   1.0622895E+00   2.1162650E-02  -6.7486677E+00   1.7649618E+00
   1.0657823E+00   1.3859067E-02  -6.7172585E+00   1.7643983E+00
   1.0692592E+00   1.1811772E-02  -6.6839290E+00   1.7641225E+00
   1.0721066E+00   9.8333629E-03  -6.6317606E+00   1.7634845E+00
   1.0756527E+00   1.3491923E-02  -6.5876241E+00   1.7626191E+00
   1.0793613E+00   1.3693796E-02  -6.5358658E+00   1.7617567E+00
   1.0822859E+00   1.4274411E-02  -6.5067091E+00   1.7610950E+00
   1.0858911E+00   1.9216441E-02  -6.4334702E+00   1.7602047E+00
   1.0889215E+00   9.0545090E-03  -6.4163914E+00   1.7595828E+00
   1.0920137E+00   1.6953429E-02  -6.3726540E+00   1.7590146E+00
   1.0959117E+00   2.1977598E-02  -6.3745847E+00   1.7584814E+00
   1.0990244E+00   2.8752860E-02  -6.2616739E+00   1.7579097E+00
   1.1021253E+00   2.6209723E-02  -6.1996045E+00   1.7568767E+00
   1.1059818E+00   2.1876892E-02  -6.1649337E+00   1.7556100E+00
   1.1090496E+00   2.5585392E-02  -6.1154728E+00   1.7549756E+00
   1.1121027E+00   2.7472621E-02  -6.0654869E+00   1.7545701E+00
   1.1159047E+00   3.8734119E-02  -6.0356622E+00   1.7540950E+00
   1.1189387E+00   2.9989745E-02  -5.9379988E+00   1.7535676E+00
   1.1227252E+00   2.4971236E-02  -5.8623018E+00   1.7529089E+00
   1.1257519E+00   3.0266294E-02  -5.8219099E+00   1.7525835E+00
   1.1287768E+00   3.0286217E-02  -5.7662807E+00   1.7525064E+00
   1.1325558E+00   2.6045274E-02  -5.6943393E+00   1.7525169E+00
