  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:04:20  02/29/2024 tjbn     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.2413089E+00  -3.3996801E-03   1.0643526E+00  -3.6209962E-01
   1.2465912E+00  -3.5971808E-03   1.1492925E+00  -3.6468610E-01
   1.2518674E+00  -2.6435666E-03   1.1206903E+00  -3.6380291E-01
   1.2571493E+00  -2.2387519E-03   1.1140162E+00  -3.6420000E-01
   1.2625749E+00  -3.7355043E-03   1.1428394E+00  -3.6603817E-01
   1.2678914E+00  -3.1171017E-03   1.2354542E+00  -3.6931598E-01
   1.2719730E+00  -6.5672357E-04   1.2022340E+00  -3.6945781E-01
   1.2764728E+00  -1.9406565E-03   1.1884190E+00  -3.7067828E-01
   1.2814339E+00  -3.6554583E-03   1.2124103E+00  -3.7130988E-01
   1.2868189E+00  -3.7123391E-03   1.2999675E+00  -3.7434778E-01
   1.2919470E+00  -1.2703389E-03   1.2802579E+00  -3.7444216E-01
   1.2967907E+00  -8.9405483E-04   1.2695757E+00  -3.7598336E-01
   1.3014166E+00  -2.6284540E-03   1.2787616E+00  -3.7762907E-01
   1.3063320E+00  -2.8539011E-03   1.3331568E+00  -3.8017634E-01
   1.3117512E+00  -1.6341349E-03   1.3623215E+00  -3.8090464E-01
   1.3177259E+00  -1.6573770E-03   1.3851664E+00  -3.8334653E-01
   1.3209391E+00  -1.3596832E-03   1.3904011E+00  -3.8392112E-01
   1.3278555E+00  -1.8012550E-03   1.4191951E+00  -3.8683838E-01
   1.3315752E+00  -5.8198092E-04   1.4236203E+00  -3.8678464E-01
   1.3354808E+00  -1.0191386E-03   1.4383003E+00  -3.8933793E-01
   1.3428212E+00  -1.5892921E-03   1.4834702E+00  -3.9280033E-01
   1.3463192E+00  -9.6482859E-04   1.4866267E+00  -3.9287952E-01
   1.3497562E+00  -9.0859679E-04   1.4905061E+00  -3.9390472E-01
   1.3565367E+00  -1.7290256E-03   1.5407279E+00  -3.9914298E-01
   1.3599190E+00  -1.5270557E-03   1.5426328E+00  -3.9906290E-01
   1.3669261E+00  -7.5987156E-04   1.5491714E+00  -4.0062761E-01
   1.3706945E+00  -1.5462986E-03   1.5827825E+00  -4.0399328E-01
   1.3743529E+00  -2.0634995E-03   1.5891836E+00  -4.0439078E-01
   1.3822278E+00  -1.2773910E-03   1.6118691E+00  -4.0718633E-01
   1.3859216E+00  -1.4961557E-03   1.6382977E+00  -4.1013870E-01
   1.3897150E+00  -1.2552915E-03   1.6509414E+00  -4.1165212E-01
   1.3936980E+00  -1.5371530E-03   1.6547205E+00  -4.1222462E-01
   1.4016122E+00  -1.6811091E-03   1.6834575E+00  -4.1615504E-01
   1.4055333E+00  -2.2256291E-03   1.7100451E+00  -4.1963103E-01
   1.4094301E+00  -1.5571042E-03   1.7146200E+00  -4.2033532E-01
   1.4133034E+00  -1.4378761E-03   1.7360792E+00  -4.2340446E-01
   1.4209830E+00  -6.6012121E-04   1.7623699E+00  -4.2739698E-01
   1.4242146E+00  -2.1851191E-03   1.7717117E+00  -4.2813116E-01
   1.4311706E+00  -1.2679220E-03   1.7935085E+00  -4.3169186E-01
   1.4349116E+00  -1.4493756E-03   1.8109084E+00  -4.3423775E-01
   1.4411577E+00  -2.1950218E-03   1.8375393E+00  -4.3831465E-01
   1.4445169E+00  -1.4554417E-03   1.8410614E+00  -4.3884468E-01
   1.4480439E+00  -9.5017481E-04   1.8459352E+00  -4.4006121E-01
   1.4551017E+00  -9.4568543E-04   1.8672087E+00  -4.4406918E-01
   1.4587553E+00  -1.8757159E-03   1.9192171E+00  -4.5027933E-01
   1.4647849E+00   1.5140604E-04   1.9197005E+00  -4.5055389E-01
   1.4699368E+00  -1.1373365E-03   1.9153522E+00  -4.5225114E-01
   1.4753182E+00  -9.2504098E-04   1.9269829E+00  -4.5466524E-01
   1.4780592E+00  -1.3462673E-03   1.9416009E+00  -4.5738155E-01
   1.4839593E+00  -2.5191284E-03   2.0192904E+00  -4.6572343E-01
   1.4904641E+00   4.9185501E-03   1.9586796E+00  -4.6206638E-01
   1.4939624E+00  -5.3935004E-03   1.9965768E+00  -4.6431294E-01
   1.4974854E+00   5.2367523E-03   2.0229261E+00  -4.6827444E-01
   1.5045054E+00  -1.7887389E-03   2.0286646E+00  -4.7109801E-01
   1.5080024E+00  -1.5644683E-03   2.0403430E+00  -4.7348252E-01
   1.5149672E+00   2.2421071E-04   2.0807841E+00  -4.8060408E-01
   1.5184317E+00   2.0421064E-03   2.0782170E+00  -4.8139316E-01
   1.5218850E+00   1.7885306E-03   2.0831928E+00  -4.8222935E-01
   1.5287647E+00   5.7551020E-04   2.1082687E+00  -4.8648474E-01
   1.5321949E+00   1.2101933E-03   2.1268084E+00  -4.8984525E-01
   1.5390373E+00   9.5451897E-04   2.1455956E+00  -4.9409160E-01
   1.5424516E+00   1.4697475E-03   2.1505570E+00  -4.9485451E-01
   1.5492675E+00   1.3564271E-03   2.1701167E+00  -4.9909225E-01
   1.5526689E+00   1.3787848E-03   2.1833556E+00  -5.0291127E-01
   1.5594574E+00   1.2854546E-03   2.2022600E+00  -5.0734705E-01
   1.5628439E+00   2.0721843E-03   2.2076552E+00  -5.0818187E-01
   1.5696008E+00   2.3899912E-03   2.2241492E+00  -5.1224738E-01
   1.5729717E+00   1.5534788E-03   2.2369478E+00  -5.1606792E-01
   1.5763385E+00   1.5901404E-03   2.2421358E+00  -5.1682556E-01
   1.5830604E+00   2.7274720E-03   2.2579849E+00  -5.2069592E-01
   1.5864162E+00   2.5692377E-03   2.2691803E+00  -5.2451926E-01
   1.5931196E+00   2.5744808E-03   2.2843707E+00  -5.2844357E-01
   1.5964674E+00   3.0132236E-03   2.2911630E+00  -5.3041518E-01
   1.6031556E+00   2.5918758E-03   2.3027749E+00  -5.3305387E-01
   1.6064961E+00   1.6394560E-03   2.3163822E+00  -5.3866857E-01
