  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   13:08:43  02/29/2024 cgix     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0851492E+00  -5.6790914E-03   9.6863842E-01   1.2417170E+00
   1.0890416E+00  -5.6760041E-03   9.9255568E-01   1.2422686E+00
   1.0948688E+00  -6.1660581E-03   1.0214714E+00   1.2429904E+00
   1.0987543E+00  -6.2017972E-03   1.0356026E+00   1.2433426E+00
   1.1036553E+00  -5.5931844E-03   1.0653137E+00   1.2440017E+00
   1.1090577E+00  -5.4255393E-03   1.1179278E+00   1.2451216E+00
   1.1142799E+00  -2.0104409E-03   1.1455308E+00   1.2464973E+00
   1.1188201E+00  -8.7611582E-03   1.1702654E+00   1.2468089E+00
   1.1243387E+00  -4.7809798E-03   1.1755491E+00   1.2470733E+00
   1.1292452E+00  -5.7206727E-03   1.2002116E+00   1.2472346E+00
   1.1349248E+00  -8.1417160E-03   1.2515883E+00   1.2476530E+00
   1.1392003E+00  -5.7466370E-03   1.2872912E+00   1.2480619E+00
   1.1437654E+00  -4.9326848E-03   1.3025800E+00   1.2483766E+00
   1.1484350E+00  -4.9643484E-03   1.3230807E+00   1.2487364E+00
   1.1545752E+00  -4.9923044E-03   1.3417804E+00   1.2494380E+00
   1.1587194E+00  -1.4178364E-03   1.3684064E+00   1.2500054E+00
   1.1629018E+00  -9.6890349E-03   1.3952365E+00   1.2506536E+00
   1.1693361E+00   2.5426236E-03   1.4359549E+00   1.2517617E+00
   1.1729679E+00  -1.1628225E-02   1.4584531E+00   1.2525188E+00
   1.1788875E+00   4.3113935E-03   1.4835094E+00   1.2536917E+00
   1.1833436E+00  -8.7009016E-03   1.5094665E+00   1.2542359E+00
   1.1875061E+00  -3.8838803E-03   1.5279081E+00   1.2549013E+00
   1.1933517E+00  -7.0571681E-03   1.5607145E+00   1.2557108E+00
   1.1977522E+00  -6.2639951E-03   1.5861398E+00   1.2562480E+00
   1.2026037E+00  -4.7166510E-03   1.6213167E+00   1.2568135E+00
   1.2079525E+00  -6.3050981E-03   1.6397887E+00   1.2572757E+00
   1.2138495E+00  -4.6873013E-03   1.6736082E+00   1.2579050E+00
   1.2168906E+00  -9.1504455E-03   1.7390441E+00   1.2588754E+00
   1.2234364E+00  -5.4051853E-03   1.7397711E+00   1.2596921E+00
   1.2269568E+00  -5.4017804E-03   1.7326125E+00   1.2598461E+00
   1.2345344E+00  -7.6470561E-03   1.7802478E+00   1.2607771E+00
   1.2383821E+00  -6.0887504E-03   1.7965032E+00   1.2616030E+00
   1.2422758E+00  -4.6681045E-03   1.8155807E+00   1.2622397E+00
   1.2461276E+00  -5.9413663E-03   1.8873311E+00   1.2640551E+00
   1.2537272E+00  -5.3944867E-03   1.8956515E+00   1.2649086E+00
   1.2574859E+00  -5.9558684E-03   1.9085958E+00   1.2654469E+00
   1.2612269E+00  -5.7870317E-03   1.9214451E+00   1.2659788E+00
   1.2686682E+00  -6.4495211E-03   1.9891011E+00   1.2677577E+00
   1.2723737E+00  -6.2747314E-03   1.9985477E+00   1.2681075E+00
   1.2760729E+00  -9.7392686E-03   2.0404942E+00   1.2688079E+00
   1.2834643E+00  -4.0639443E-03   2.0767858E+00   1.2700970E+00
   1.2871593E+00  -6.5940651E-03   2.0907204E+00   1.2706814E+00
   1.2908567E+00  -5.0787423E-03   2.1308970E+00   1.2715913E+00
   1.2982466E+00  -8.1805717E-03   2.1572664E+00   1.2726004E+00
   1.3018872E+00  -6.7543676E-03   2.1727519E+00   1.2730583E+00
   1.3054837E+00  -6.6813859E-03   2.1938293E+00   1.2734231E+00
   1.3125565E+00  -6.2816772E-03   2.2912090E+00   1.2763988E+00
   1.3160378E+00  -6.3397586E-03   2.2891550E+00   1.2767519E+00
   1.3228623E+00  -5.5433661E-03   2.2957611E+00   1.2772831E+00
   1.3262455E+00  -6.6301906E-03   2.3390577E+00   1.2783554E+00
   1.3296019E+00  -6.8920148E-03   2.3522356E+00   1.2790455E+00
   1.3359340E+00  -6.2802341E-03   2.4396460E+00   1.2811092E+00
   1.3405559E+00  -5.5101719E-03   2.4433267E+00   1.2815850E+00
   1.3456516E+00  -4.1460539E-03   2.4522285E+00   1.2814808E+00
   1.3506356E+00  -9.5272455E-03   2.4823267E+00   1.2817241E+00
   1.3553109E+00  -6.2036067E-03   2.5277114E+00   1.2826309E+00
   1.3597749E+00  -5.6530279E-03   2.5629208E+00   1.2834871E+00
   1.3662126E+00  -5.7469523E-03   2.5954065E+00   1.2843609E+00
   1.3704007E+00  -5.9296084E-03   2.6084976E+00   1.2847123E+00
   1.3762736E+00  -6.3118408E-03   2.6585836E+00   1.2862544E+00
   1.3814949E+00  -5.4579577E-03   2.7086613E+00   1.2893040E+00
   1.3854254E+00  -5.2054203E-03   2.6962399E+00   1.2888384E+00
   1.3895979E+00  -5.5182176E-03   2.6991324E+00   1.2882155E+00
   1.3957959E+00  -5.6482609E-03   2.8239439E+00   1.2875007E+00
   1.4004617E+00  -3.9636390E-03   2.8128619E+00   1.2871376E+00
   1.4056058E+00  -4.0597674E-03   2.8040006E+00   1.2868040E+00
   1.4111185E+00  -4.9134912E-03   2.8049040E+00   1.2864119E+00
   1.4138482E+00  -4.9429401E-03   2.8214216E+00   1.2864902E+00
   1.4192637E+00  -5.0591109E-03   2.9126050E+00   1.2903442E+00
   1.4246305E+00  -3.9181649E-03   2.9080975E+00   1.2903476E+00
   1.4299506E+00  -3.7681151E-03   2.9169755E+00   1.2899873E+00
   1.4352248E+00  -5.0540357E-03   3.0044353E+00   1.2898062E+00
   1.4404577E+00  -3.4692220E-03   3.0048804E+00   1.2897712E+00
   1.4456487E+00  -2.2488530E-03   3.0077047E+00   1.2886509E+00
   1.4508007E+00  -4.2009465E-03   3.0235870E+00   1.2862697E+00
   1.4533632E+00  -4.0327832E-03   3.0908036E+00   1.2874035E+00
   1.4594277E+00  -1.7315422E-03   3.0925446E+00   1.2867996E+00
   1.4639930E+00  -2.2384736E-03   3.1004434E+00   1.2860378E+00
   1.4686847E+00  -2.4460943E-03   3.1158390E+00   1.2853762E+00
   1.4737016E+00  -3.2794415E-03   3.1571567E+00   1.2856607E+00
