  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   19:27:57  02/22/2024 gpju     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      704      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.9042735E+00   3.1058539E-03   3.5040989E+00   4.0359454E+00
   1.9092526E+00   2.3889570E-03   3.4467897E+00   4.0361238E+00
   1.9142464E+00   1.6270773E-03   3.3716013E+00   4.0366259E+00
   1.9191940E+00   1.2737064E-03   3.1277614E+00   4.0391626E+00
   1.9241143E+00  -3.2578592E-04   3.1094646E+00   4.0391827E+00
   1.9290189E+00   3.9970639E-04   3.1241665E+00   4.0383854E+00
   1.9339118E+00   4.5319280E-04   3.1221895E+00   4.0378160E+00
   1.9387888E+00  -9.3175266E-05   3.1070380E+00   4.0373292E+00
   1.9435874E+00  -1.0306329E-03   3.0633867E+00   4.0368590E+00
   1.9483342E+00  -1.9682525E-03   2.8471045E+00   4.0371552E+00
   1.9530377E+00  -3.0437722E-03   2.8251472E+00   4.0373006E+00
   1.9576733E+00  -3.2019760E-03   2.8105528E+00   4.0373950E+00
   1.9622405E+00  -3.3292985E-03   2.7915070E+00   4.0373993E+00
   1.9667661E+00  -3.8129713E-03   2.7625179E+00   4.0373983E+00
   1.9712695E+00  -4.7275620E-03   2.6981843E+00   4.0374837E+00
   1.9757711E+00  -5.6594601E-03   2.6190128E+00   4.0375767E+00
   1.9802612E+00  -6.5317405E-03   2.5351851E+00   4.0375462E+00
   1.9892418E+00  -7.2513120E-03   2.3978481E+00   4.0371141E+00
   1.9937460E+00  -7.6141753E-03   2.3486595E+00   4.0367846E+00
   1.9982649E+00  -8.3997799E-03   2.3060651E+00   4.0364313E+00
   2.0028005E+00  -9.5304726E-03   2.2672348E+00   4.0360947E+00
   2.0073528E+00  -1.0450467E-02   2.2296989E+00   4.0358067E+00
   2.0119066E+00  -1.0646426E-02   2.1906118E+00   4.0355830E+00
   2.0164607E+00  -1.1560536E-02   2.1465044E+00   4.0354209E+00
   2.0210135E+00  -1.2105726E-02   2.0958805E+00   4.0353150E+00
   2.0255594E+00  -1.2791988E-02   2.0439739E+00   4.0352502E+00
   2.0300860E+00  -1.3546326E-02   1.9920148E+00   4.0352011E+00
   2.0346096E+00  -1.4271422E-02   1.9414700E+00   4.0351386E+00
   2.0391293E+00  -1.4939272E-02   1.8934220E+00   4.0350499E+00
   2.0481591E+00  -1.6399931E-02   1.8238310E+00   4.0348520E+00
   2.0526690E+00  -1.7138388E-02   1.7928624E+00   4.0347638E+00
   2.0571799E+00  -1.7753411E-02   1.7275473E+00   4.0345297E+00
   2.0616968E+00  -1.8334912E-02   1.6705921E+00   4.0341825E+00
   2.0662227E+00  -1.9329645E-02   1.6192770E+00   4.0339117E+00
   2.0707631E+00  -1.9737996E-02   1.5982333E+00   4.0337949E+00
   2.0753207E+00  -2.0071447E-02   1.5504652E+00   4.0336204E+00
   2.0799100E+00  -2.0876732E-02   1.5087774E+00   4.0333157E+00
   2.0844908E+00  -2.1651322E-02   1.4685489E+00   4.0329561E+00
   2.0890269E+00  -2.3375405E-02   1.4289231E+00   4.0325541E+00
   2.0935786E+00  -2.4006445E-02   1.3896942E+00   4.0320826E+00
   2.1027367E+00  -2.4923144E-02   1.3080957E+00   4.0309052E+00
   2.1073246E+00  -2.5616601E-02   1.2624878E+00   4.0301905E+00
   2.1119137E+00  -2.5784276E-02   1.2146277E+00   4.0293970E+00
   2.1165020E+00  -2.6534462E-02   1.1624950E+00   4.0285354E+00
   2.1210883E+00  -2.7217388E-02   1.1124457E+00   4.0276155E+00
   2.1256742E+00  -2.7702129E-02   1.0604658E+00   4.0266557E+00
   2.1302643E+00  -2.8608788E-02   8.7102991E-01   4.0223627E+00
   2.1348689E+00  -2.8762531E-02   8.7482941E-01   4.0220704E+00
   2.1394930E+00  -3.0618319E-02   8.8883185E-01   4.0224133E+00
   2.1441331E+00  -3.1617679E-02   8.9304674E-01   4.0229411E+00
   2.1487715E+00  -3.2686338E-02   8.7416154E-01   4.0230761E+00
   2.1534147E+00  -3.3245858E-02   8.2010889E-01   4.0226312E+00
   2.1580746E+00  -3.2807346E-02   5.4131913E-01   4.0181880E+00
   2.1627822E+00  -3.3362772E-02   5.3787464E-01   4.0178227E+00
   2.1707225E+00  -3.5673071E-02   5.5294889E-01   4.0184383E+00
   2.1749928E+00  -3.6834180E-02   5.3216678E-01   4.0186687E+00
   2.1794767E+00  -3.7286304E-02   4.7721276E-01   4.0179110E+00
   2.1841848E+00  -3.9022405E-02   3.9564767E-01   4.0165052E+00
   2.1890306E+00  -3.8811583E-02   2.9957035E-01   4.0149617E+00
   2.1938744E+00  -3.8890257E-02  -3.0267987E-02   4.0075965E+00
   2.1987033E+00  -3.9771494E-02  -1.1506416E-02   4.0085292E+00
   2.2035758E+00  -4.1348942E-02   1.5479020E-02   4.0101104E+00
   2.2085073E+00  -4.2023920E-02   2.0705247E-02   4.0112829E+00
   2.2135153E+00  -4.1502029E-02  -5.8193002E-03   4.0115633E+00
   2.2185402E+00  -4.1775286E-02  -7.6344356E-02   4.0113773E+00
