  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   20:21:40  02/28/2024 httg     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      993      0.000E+00      1.714E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.2929962E-01   3.2921552E-03   3.6234340E-01   4.9933562E-01
   5.3118801E-01   2.0209808E-02   4.0307683E-01   5.0600398E-01
   5.3326994E-01   2.3046620E-03   2.9806468E-01   5.0316226E-01
   5.3438962E-01  -1.0570358E-04   2.8572857E-01   5.0390136E-01
   5.3665942E-01   2.2966886E-02   1.4656231E-01   5.0426257E-01
   5.3778762E-01   6.8259874E-04   1.3718124E-01   5.0673449E-01
   5.3992307E-01   1.0264680E-03   8.3548248E-02   5.0927573E-01
   5.4107147E-01   1.4535320E-02   2.8541456E-03   5.0657654E-01
   5.4354352E-01   4.0152674E-03  -3.5043657E-02   5.0471729E-01
   5.4487300E-01   5.3572888E-03  -7.1824774E-02   5.0854313E-01
   5.4607689E-01   5.5880849E-03  -6.4308576E-02   5.1116794E-01
   5.4837549E-01  -1.2619266E-02  -2.2890401E-01   5.0392956E-01
   5.4951066E-01  -1.1896384E-02  -3.1845802E-01   5.0514889E-01
   5.5179793E-01   3.4757440E-03  -3.2631573E-01   5.1163524E-01
   5.5298388E-01   1.0209457E-03  -3.8682657E-01   5.0904733E-01
   5.5545074E-01   1.8107316E-02  -4.4250524E-01   5.1027703E-01
   5.5674249E-01   4.7229882E-03  -4.6174282E-01   5.1330972E-01
   5.5799013E-01  -6.4106053E-03  -5.1919115E-01   5.1277363E-01
   5.6016648E-01   3.0609651E-03  -5.9724838E-01   5.2448678E-01
   5.6199020E-01   1.3511107E-02  -6.9047475E-01   5.1640821E-01
   5.6348175E-01   5.5079069E-03  -7.7231628E-01   5.1396823E-01
   5.6540942E-01   9.5094685E-03  -8.4282190E-01   5.1649785E-01
   5.6741494E-01  -1.8017188E-02  -8.4829706E-01   5.1837987E-01
   5.6892467E-01   7.0033339E-03  -8.7752426E-01   5.1947445E-01
   5.7054138E-01   5.5406545E-03  -9.1736490E-01   5.1898056E-01
   5.7210892E-01  -5.4021655E-03  -9.9278426E-01   5.1617128E-01
