  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:14:29  02/29/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.3952134E+00  -1.2816696E-03   2.2875578E+00   6.9306040E-01
   1.3996185E+00  -1.9081020E-03   2.3175986E+00   6.9222325E-01
   1.4044752E+00  -4.9021497E-04   2.4254522E+00   6.9105345E-01
   1.4098296E+00   7.1244012E-04   2.3317652E+00   6.9165623E-01
   1.4156857E+00  -2.2578386E-03   2.4462175E+00   6.9135767E-01
   1.4186561E+00  -8.1292899E-05   2.4430497E+00   6.9100034E-01
   1.4245808E+00   8.7072159E-04   2.4414027E+00   6.9013357E-01
   1.4304864E+00   6.5430453E-05   2.4657011E+00   6.8885237E-01
   1.4334326E+00  -5.4518634E-04   2.5431218E+00   6.8870610E-01
   1.4386222E+00   1.4534352E-03   2.5402296E+00   6.8893141E-01
   1.4443438E+00   1.0725196E-03   2.5450876E+00   6.8859786E-01
   1.4502013E+00   7.4684375E-04   2.5625291E+00   6.8759656E-01
   1.4531271E+00   2.3289790E-04   2.6375723E+00   6.8584394E-01
   1.4589648E+00   1.3729526E-03   2.6443186E+00   6.8597436E-01
   1.4647832E+00   2.4181108E-03   2.6508498E+00   6.8540794E-01
   1.4705808E+00   2.3992339E-03   2.6656427E+00   6.8405986E-01
   1.4734728E+00   1.9423169E-03   2.6870885E+00   6.8323809E-01
   1.4792436E+00   3.1321496E-03   2.7679319E+00   6.8291950E-01
   1.4850005E+00   3.9416016E-03   2.7377694E+00   6.8402714E-01
   1.4878799E+00  -3.8883791E-03   2.7874124E+00   6.8170488E-01
   1.4936386E+00   4.2854026E-03   2.8110452E+00   6.8168706E-01
   1.4993852E+00   5.8557000E-03   2.8322160E+00   6.7994797E-01
   1.5043486E+00   2.4026702E-03   2.8630950E+00   6.7756313E-01
   1.5088632E+00   3.4778232E-03   2.8901584E+00   6.7667240E-01
   1.5138406E+00   3.9672581E-03   2.9162898E+00   6.7605889E-01
   1.5193281E+00   5.7236920E-03   2.9493330E+00   6.7560136E-01
   1.5221505E+00   2.5753805E-03   2.9815407E+00   6.7514777E-01
   1.5277838E+00   5.0574676E-03   2.9928865E+00   6.7518795E-01
   1.5334028E+00   5.3371014E-03   3.0044360E+00   6.7430508E-01
   1.5390092E+00   4.6097408E-03   3.0334885E+00   6.7243397E-01
   1.5445737E+00   4.8590242E-03   3.0862660E+00   6.7090172E-01
   1.5473378E+00   5.9517594E-03   3.0919676E+00   6.7083549E-01
   1.5528293E+00   7.1833623E-03   3.1046755E+00   6.6981333E-01
   1.5582746E+00   6.1100400E-03   3.1286874E+00   6.6827852E-01
   1.5636765E+00   6.8726530E-03   3.1660361E+00   6.6628247E-01
   1.5690372E+00   7.6418384E-03   3.2172859E+00   6.6455793E-01
   1.5717032E+00   8.8309776E-03   3.2218013E+00   6.6454881E-01
   1.5770079E+00   8.3754379E-03   3.2108228E+00   6.6583735E-01
   1.5821265E+00   7.5771376E-03   3.2667391E+00   6.6283703E-01
   1.5872985E+00   1.0242490E-02   3.2759886E+00   6.6150886E-01
   1.5925021E+00   1.0790004E-02   3.2937334E+00   6.6004163E-01
   1.5976722E+00   9.6721174E-03   3.3158627E+00   6.5789151E-01
   1.6028126E+00   9.7293286E-03   3.3510830E+00   6.5618873E-01
   1.6079249E+00   1.2382668E-02   3.3639936E+00   6.5646213E-01
   1.6130087E+00   1.0304675E-02   3.3847516E+00   6.5533519E-01
   1.6180657E+00   9.7796172E-03   3.4131615E+00   6.5337640E-01
   1.6231005E+00   1.1614022E-02   3.4271553E+00   6.5323609E-01
   1.6275278E+00   1.2981486E-02   3.4446170E+00   6.5194952E-01
   1.6315391E+00   1.3894132E-02   3.4645090E+00   6.4990473E-01
   1.6380531E+00   1.0625020E-02   3.4860299E+00   6.4748776E-01
   1.6427356E+00   1.3068919E-02   3.5006657E+00   6.4733481E-01
   1.6476524E+00   1.3578570E-02   3.5192978E+00   6.4648128E-01
   1.6525580E+00   1.2119749E-02   3.5357239E+00   6.4549726E-01
   1.6574420E+00   1.2382021E-02   3.5500305E+00   6.4318305E-01
   1.6623073E+00   1.2918118E-02   3.5509977E+00   6.4068156E-01
   1.6671546E+00   1.6324701E-02   3.5759397E+00   6.4132094E-01
