  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   10:29:12  02/26/2024 qiqb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      337      0.000E+00      2.367E+00
   time              pfxob_1         pfyob_1         pfzob_1
   2.1805944E+00  -3.7042771E-02   3.8516024E-01   4.0175762E+00
   2.1854887E+00  -3.7481152E-02   3.0114096E-01   4.0163045E+00
   2.1906276E+00  -3.8234960E-02   2.8584892E-02   4.0097294E+00
   2.1957524E+00  -3.9158422E-02   3.6117509E-02   4.0103292E+00
   2.2005990E+00  -3.9158251E-02   4.4592187E-02   4.0114479E+00
   2.2056427E+00  -3.9235510E-02   3.8118653E-02   4.0121117E+00
   2.2105489E+00  -3.8851235E-02   3.3515317E-03   4.0121474E+00
   2.2154045E+00  -3.9461840E-02  -6.8444528E-02   4.0113969E+00
   2.2203023E+00  -3.9502356E-02  -1.6664854E-01   4.0098948E+00
   2.2252831E+00  -3.9216388E-02  -5.1553762E-01   4.0014753E+00
   2.2302320E+00  -4.1000377E-02  -5.0370622E-01   4.0025930E+00
   2.2352676E+00  -4.1780796E-02  -4.8896497E-01   4.0043035E+00
   2.2400880E+00  -4.2941052E-02  -4.8991984E-01   4.0055709E+00
   2.2451491E+00  -4.3942090E-02  -5.2101493E-01   4.0058980E+00
   2.2503498E+00  -4.2718869E-02  -5.8725286E-01   4.0052524E+00
   2.2552862E+00  -4.2189468E-02  -8.8431042E-01   3.9970310E+00
   2.2601268E+00  -4.3885220E-02  -9.0354627E-01   3.9974611E+00
   2.2652094E+00  -4.5273185E-02  -9.2707181E-01   3.9982691E+00
   2.2704885E+00  -4.5397278E-02  -9.6431172E-01   3.9986076E+00
   2.2757053E+00  -4.4892605E-02  -1.0268278E+00   3.9982586E+00
   2.2809036E+00  -4.3501925E-02  -1.2414997E+00   3.9905415E+00
   2.2860739E+00  -4.7074515E-02  -1.2710332E+00   3.9905663E+00
   2.2912018E+00  -4.8420895E-02  -1.3094535E+00   3.9912157E+00
   2.2963541E+00  -4.6797648E-02  -1.3420284E+00   3.9913630E+00
   2.3016994E+00  -4.6065696E-02  -1.5140898E+00   3.9864194E+00
   2.3073120E+00  -4.6410661E-02  -1.5439035E+00   3.9860258E+00
   2.3132052E+00  -4.6807282E-02  -1.5885024E+00   3.9857218E+00
   2.3183997E+00  -4.7042936E-02  -1.7278031E+00   3.9798062E+00
   2.3238537E+00  -4.6795342E-02  -1.7509307E+00   3.9797206E+00
   2.3288929E+00  -4.7167860E-02  -1.7880974E+00   3.9798939E+00
   2.3341842E+00  -4.7002148E-02  -1.9011325E+00   3.9760122E+00
   2.3395643E+00  -4.7459908E-02  -1.9259150E+00   3.9758241E+00
   2.3448949E+00  -4.7992367E-02  -1.9643528E+00   3.9756451E+00
   2.3501916E+00  -4.4592869E-02  -2.0862901E+00   3.9695332E+00
   2.3555467E+00  -4.5785874E-02  -2.0953507E+00   3.9695058E+00
   2.3610842E+00  -4.6572994E-02  -2.1126511E+00   3.9697425E+00
   2.3668985E+00  -4.6744049E-02  -2.1889615E+00   3.9660242E+00
