  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   12:10:22  02/16/2024 bnvl     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.931E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.4988317E+00   8.6973503E-04   2.1181095E+00  -4.6014228E-01
   1.5023279E+00   1.2318906E-03   2.1229432E+00  -4.6039519E-01
   1.5092920E+00  -3.6056325E-04   2.1483448E+00  -4.6565086E-01
   1.5127616E+00   2.5682055E-04   2.1551223E+00  -4.6587020E-01
   1.5196769E+00   1.3662702E-03   2.1967773E+00  -4.7176954E-01
   1.5231204E+00   1.7320472E-03   2.2000670E+00  -4.7224793E-01
   1.5299805E+00   9.9725521E-04   2.2102141E+00  -4.7493756E-01
   1.5333989E+00   2.5444248E-04   2.2341301E+00  -4.7856030E-01
   1.5368111E+00   8.0157991E-04   2.2396245E+00  -4.7900292E-01
   1.5436165E+00   1.3679992E-03   2.2736838E+00  -4.8502144E-01
   1.5470093E+00   1.7250370E-03   2.2781997E+00  -4.8526061E-01
   1.5537761E+00   1.0344075E-03   2.2993114E+00  -4.8928446E-01
   1.5571526E+00   8.3986908E-04   2.3047941E+00  -4.8998246E-01
   1.5638921E+00   2.3315512E-03   2.3274117E+00  -4.9388391E-01
   1.5672549E+00   1.9545481E-03   2.3427579E+00  -4.9710426E-01
   1.5739670E+00   1.8171027E-03   2.3644640E+00  -5.0121766E-01
   1.5773159E+00   2.2250009E-03   2.3706725E+00  -5.0189948E-01
   1.5840002E+00   2.1870143E-03   2.3902178E+00  -5.0582737E-01
   1.5873358E+00   2.4183814E-03   2.3965144E+00  -5.0685924E-01
   1.5939559E+00   2.9444559E-03   2.4226584E+00  -5.1240665E-01
   1.5972260E+00   3.5245894E-03   2.4301329E+00  -5.1473576E-01
   1.6036879E+00   2.4949973E-03   2.4510128E+00  -5.1855516E-01
   1.6068810E+00   2.2222807E-03   2.4555953E+00  -5.1909876E-01
