  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   15:52:28  02/16/2024 tcgi     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      995      0.000E+00      1.713E+00
   time              pfxob_1         pfyob_1         pfzob_1
   5.1253438E-01  -9.5459083E-03   9.6350175E-01   5.0035268E-01
   5.1375622E-01  -8.8588183E-04   9.4639289E-01   4.9990398E-01
   5.1618576E-01   1.0497856E-03   8.7775344E-01   4.9891397E-01
   5.1739430E-01  -5.9470618E-03   7.9681695E-01   4.9856421E-01
   5.1860249E-01  -6.7297658E-03   7.5121504E-01   4.9870899E-01
   5.2102661E-01  -4.8050536E-03   6.4883667E-01   4.9795327E-01
   5.2224058E-01   1.9624659E-03   5.6792378E-01   5.0101191E-01
   5.2469337E-01  -8.2853390E-03   4.7536534E-01   4.9778274E-01
   5.2590537E-01  -6.4437720E-03   4.4034541E-01   4.9969342E-01
   5.2828777E-01   1.3484043E-02   4.0117335E-01   5.0111622E-01
   5.2943337E-01   2.0818133E-02   3.8452744E-01   5.0010437E-01
   5.3063625E-01  -1.1118555E-02   3.2667378E-01   5.0214285E-01
   5.3304541E-01  -3.4711205E-03   2.3120470E-01   5.0074553E-01
   5.3425276E-01  -2.1926516E-03   1.2574703E-01   5.0293064E-01
   5.3646684E-01   1.2928560E-02   2.4920458E-02   4.9908790E-01
   5.3755915E-01   5.0686221E-03   3.3985119E-02   5.0260824E-01
   5.3980619E-01  -7.9737818E-03  -5.6153294E-02   5.0017989E-01
   5.4101467E-01   6.8220432E-04  -9.4209023E-02   5.0138944E-01
   5.4359221E-01   1.9390523E-03  -1.4993551E-01   5.0522292E-01
   5.4488629E-01   5.9880014E-03  -1.7132765E-01   5.0608236E-01
   5.4616922E-01   7.9096565E-03  -2.4912925E-01   5.0596058E-01
   5.4870319E-01   7.8646187E-03  -4.0149677E-01   4.9796039E-01
   5.4997027E-01   8.2514687E-03  -4.1614696E-01   5.0068188E-01
   5.5122674E-01  -5.4375590E-03  -4.4098133E-01   5.0541717E-01
   5.5370730E-01  -8.4745921E-03  -5.0218827E-01   5.1204205E-01
   5.5479074E-01   9.3424404E-03  -5.6917602E-01   5.0581652E-01
   5.5712283E-01   1.5138129E-02  -6.5306967E-01   5.1113206E-01
   5.5834895E-01  -1.8472882E-04  -6.8106544E-01   5.1440209E-01
   5.6072354E-01   7.4453857E-03  -7.4553144E-01   5.1551050E-01
   5.6169158E-01   8.2842568E-03  -7.8185290E-01   5.1384306E-01
   5.6396848E-01   6.2397555E-03  -9.1297251E-01   5.1667583E-01
   5.6530547E-01  -3.6296912E-02  -1.0028864E+00   5.1152033E-01
   5.6716460E-01  -1.2347021E-02  -9.9826908E-01   5.1174778E-01
   5.6899512E-01   7.4047809E-03  -1.0402162E+00   5.1268238E-01
   5.7025754E-01  -1.7523364E-03  -1.0588650E+00   5.1327801E-01
   5.7214433E-01  -8.0682402E-03  -1.1373730E+00   5.1894355E-01
   5.7420969E-01  -4.9756058E-03  -1.2183263E+00   5.1722592E-01
   5.7576448E-01   5.0125341E-03  -1.2580185E+00   5.1696789E-01
   5.7742983E-01   6.3395491E-03  -1.3068978E+00   5.1760823E-01
   5.7908928E-01   9.4318800E-03  -1.3712265E+00   5.1748252E-01
   5.8079791E-01  -3.6034056E-03  -1.4149650E+00   5.1809108E-01
   5.8258945E-01  -1.0095269E-02  -1.4509236E+00   5.1655942E-01
   5.8456463E-01   5.4914586E-04  -1.5713991E+00   5.1747870E-01
   5.8562690E-01   9.4256671E-03  -1.5796691E+00   5.1725096E-01
   5.8790582E-01  -7.2725415E-03  -1.6619712E+00   5.1642501E-01
   5.8905834E-01  -2.8037313E-02  -1.6428194E+00   5.1821643E-01
   5.9115958E-01   7.2256741E-03  -1.6850019E+00   5.1838529E-01
   5.9309578E-01  -8.2578147E-03  -1.7436482E+00   5.2113944E-01
   5.9494215E-01  -2.2312112E-02  -1.8115486E+00   5.2053052E-01
   5.9584558E-01  -1.1161435E-02  -1.8392451E+00   5.2038294E-01
   5.9763074E-01   8.6503802E-03  -1.9151558E+00   5.1924044E-01
   5.9938663E-01   2.2742575E-02  -2.1342909E+00   5.1465464E-01
