  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   14:30:35  02/22/2024 pnht     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing tfxob, tfyob, tfzob       
       1      999      0.000E+00      3.341E+00
   time              tfxob_1         tfyob_1         tfzob_1
   1.0992931E+00   2.6386539E-02  -6.1957064E+00   1.7395558E+00
   1.1023549E+00   2.3604568E-02  -6.1628504E+00   1.7386911E+00
   1.1054082E+00   3.3787724E-02  -6.1207657E+00   1.7379601E+00
   1.1092225E+00   2.9137203E-02  -6.0622754E+00   1.7373431E+00
   1.1122800E+00   2.8165964E-02  -6.0111670E+00   1.7369534E+00
   1.1160771E+00   4.7982097E-02  -5.9361458E+00   1.7365878E+00
   1.1192077E+00   2.7269375E-02  -5.9073663E+00   1.7364339E+00
   1.1223279E+00   2.9248290E-02  -5.7977257E+00   1.7361456E+00
   1.1254320E+00   3.1220559E-02  -5.7658052E+00   1.7360716E+00
   1.1292925E+00   2.6348744E-02  -5.7231026E+00   1.7365360E+00
   1.1323647E+00   3.1193661E-02  -5.6616936E+00   1.7369635E+00
   1.1361821E+00   3.3586979E-02  -5.5690746E+00   1.7372133E+00
