  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:47:44  02/22/2024 jupc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      909      0.000E+00      3.344E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.2041768E+00   5.8785960E-02  -4.2403979E+00   3.6492469E+00
   1.2074984E+00   5.4394066E-02  -4.3003402E+00   3.6493535E+00
   1.2108542E+00   5.4630011E-02  -4.3009377E+00   3.6495812E+00
   1.2142489E+00   5.1712152E-02  -4.2854056E+00   3.6498425E+00
   1.2176868E+00   4.9790543E-02  -4.2329392E+00   3.6500659E+00
   1.2211723E+00   4.8526570E-02  -4.1403537E+00   3.6501069E+00
   1.2247119E+00   4.6448350E-02  -3.6290112E+00   3.6480174E+00
   1.2282939E+00   4.9764492E-02  -3.6429455E+00   3.6462922E+00
   1.2318588E+00   4.5604132E-02  -3.6995418E+00   3.6448441E+00
   1.2354089E+00   4.5902658E-02  -3.7037394E+00   3.6445014E+00
