  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:11:33  02/15/2024 tgtc     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      4.932E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.3316419E+00  -2.4703669E-03   2.1066544E+00   6.9745916E-01
   1.3347934E+00  -1.6926357E-03   2.1069157E+00   6.9777524E-01
   1.3411883E+00  -1.3465066E-03   2.0956714E+00   6.9746214E-01
   1.3464011E+00  -1.9614955E-03   2.1323862E+00   6.9732505E-01
   1.3503251E+00  -1.5331715E-03   2.1652825E+00   6.9725585E-01
   1.3569781E+00  -1.2530774E-03   2.2027287E+00   6.9678628E-01
   1.3619863E+00  -1.2269148E-03   2.2309055E+00   6.9644248E-01
   1.3646797E+00  -1.2816675E-03   2.2387626E+00   6.9635981E-01
   1.3704772E+00  -9.7488583E-04   2.2656901E+00   6.9605196E-01
   1.3765640E+00  -1.2339690E-03   2.3304954E+00   6.9573468E-01
   1.3812106E+00  -8.5046160E-04   2.3334038E+00   6.9590539E-01
   1.3853415E+00  -1.3816728E-03   2.3412411E+00   6.9662976E-01
   1.3901236E+00  -9.4781973E-04   2.3615284E+00   6.9606149E-01
   1.3956594E+00  -6.7054725E-04   2.3975286E+00   6.9495755E-01
   1.3998268E+00  -4.2903219E-05   2.4735193E+00   6.9330359E-01
   1.4044212E+00   2.8354456E-04   2.4381642E+00   6.9360334E-01
   1.4094867E+00   2.9334222E-04   2.4382486E+00   6.9349486E-01
   1.4150712E+00  -4.0668159E-04   2.4666314E+00   6.9280869E-01
   1.4209832E+00   7.7669456E-04   2.5610647E+00   6.9335765E-01
   1.4239323E+00   1.0133716E-03   2.5540113E+00   6.9338024E-01
   1.4298211E+00   8.5074716E-04   2.5522149E+00   6.9292039E-01
   1.4357017E+00   5.5478897E-04   2.5792480E+00   6.9174254E-01
   1.4386389E+00   4.4243853E-04   2.6625466E+00   6.9072068E-01
   1.4444970E+00   2.8673308E-03   2.6356349E+00   6.9088048E-01
   1.4503406E+00   3.7645779E-04   2.6939225E+00   6.8985891E-01
   1.4532571E+00   1.6094175E-03   2.7013786E+00   6.8978876E-01
   1.4590772E+00   2.3923966E-03   2.7221222E+00   6.8898404E-01
   1.4648776E+00   2.0530995E-03   2.7904789E+00   6.8715763E-01
   1.4706569E+00   3.4662837E-03   2.7995141E+00   6.8752009E-01
   1.4735384E+00   3.2495796E-03   2.8042345E+00   6.8722838E-01
   1.4792874E+00   3.0375766E-03   2.8236196E+00   6.8655378E-01
   1.4850203E+00   3.7578191E-04   2.9155922E+00   6.8456554E-01
   1.4878812E+00   2.9785170E-03   2.9217091E+00   6.8530476E-01
   1.4935920E+00   4.7768783E-03   2.9174514E+00   6.8534064E-01
   1.4992895E+00   3.4692024E-03   2.9326091E+00   6.8409556E-01
   1.5049764E+00   2.5358070E-03   2.9884086E+00   6.8264526E-01
   1.5078155E+00   4.0705176E-03   2.9991291E+00   6.8280429E-01
   1.5134808E+00   6.8942658E-03   3.0310285E+00   6.8188858E-01
   1.5176426E+00   3.8285486E-03   3.0691442E+00   6.7984909E-01
   1.5246986E+00   4.6085515E-03   3.1054378E+00   6.7920643E-01
   1.5272896E+00   5.8580134E-03   3.1179583E+00   6.7901105E-01
   1.5328028E+00   4.5335875E-03   3.1505172E+00   6.7803389E-01
   1.5377781E+00   5.3075263E-03   3.1846509E+00   6.7717701E-01
   1.5424904E+00   5.7270457E-03   3.2152245E+00   6.7605692E-01
   1.5473905E+00   6.3761654E-03   3.2385960E+00   6.7564565E-01
   1.5524833E+00   6.3936389E-03   3.2663965E+00   6.7487514E-01
   1.5579064E+00   6.7586810E-03   3.2958026E+00   6.7420733E-01
   1.5632855E+00   7.0073470E-03   3.3232338E+00   6.7311370E-01
   1.5686225E+00   7.9409042E-03   3.3580818E+00   6.7143959E-01
   1.5739210E+00   7.4632908E-03   3.3897607E+00   6.7028016E-01
   1.5765563E+00   8.0509670E-03   3.4007733E+00   6.7006791E-01
   1.5817995E+00   8.1039229E-03   3.4284828E+00   6.6882813E-01
   1.5870072E+00   8.8148993E-03   3.4548805E+00   6.6780007E-01
   1.5921198E+00   9.2090275E-03   3.5040052E+00   6.6569936E-01
   1.5972642E+00   1.0196283E-02   3.5154209E+00   6.6601944E-01
   1.6021789E+00   1.0404387E-02   3.5288363E+00   6.6550064E-01
   1.6071898E+00   9.7844964E-03   3.5495768E+00   6.6406834E-01
   1.6122457E+00   1.1359510E-02   3.5801985E+00   6.6207588E-01
   1.6179656E+00   1.3909096E-02   3.6292787E+00   6.5934181E-01
   1.6214963E+00   1.3235548E-02   3.6313052E+00   6.5969497E-01
   1.6274824E+00   1.1821018E-02   3.6487644E+00   6.5959299E-01
   1.6319885E+00   8.5990205E-03   3.6711426E+00   6.5806645E-01
   1.6368736E+00   1.2203172E-02   3.7096548E+00   6.5623307E-01
   1.6417782E+00   1.2805471E-02   3.7077737E+00   6.5660101E-01
   1.6466599E+00   1.0794273E-02   3.7467067E+00   6.5484965E-01
   1.6515176E+00   1.4153732E-02   3.7653811E+00   6.5299809E-01
   1.6563535E+00   1.3852593E-02   3.7817461E+00   6.5176511E-01
   1.6611676E+00   1.3097267E-02   3.7954476E+00   6.4989811E-01
   1.6659591E+00   1.3429714E-02   3.8129771E+00   6.4895445E-01
