  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   18:04:42  03/14/2024 ttgt     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       4     1001      1.033E-02      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0188059E+00   2.4435064E-03  -6.9898376E+00   1.7710844E+00
   1.0223329E+00   2.8581860E-02  -6.9285073E+00   1.7706716E+00
   1.0258552E+00  -1.7957597E-04  -6.8844934E+00   1.7700332E+00
   1.0287987E+00  -4.9664602E-03  -6.8039031E+00   1.7696140E+00
   1.0325429E+00  -1.4426337E-03  -6.8047576E+00   1.7688344E+00
   1.0355252E+00  -2.7734836E-04  -6.7499175E+00   1.7683141E+00
   1.0391612E+00   3.8822142E-03  -6.6584697E+00   1.7675127E+00
   1.0419868E+00  -3.0167974E-03  -6.6568413E+00   1.7667617E+00
   1.0455734E+00   1.4992952E-03  -6.6102457E+00   1.7660569E+00
   1.0492176E+00   6.1056465E-03  -6.5305433E+00   1.7654961E+00
   1.0522140E+00   8.5327150E-03  -6.5014334E+00   1.7647514E+00
   1.0559419E+00   1.1486639E-02  -6.5312738E+00   1.7641017E+00
   1.0589212E+00   1.0727079E-02  -6.4245229E+00   1.7635046E+00
   1.0626081E+00   1.5012348E-02  -6.3892970E+00   1.7623188E+00
   1.0655001E+00   1.7236635E-02  -6.3249087E+00   1.7618918E+00
   1.0691398E+00   1.7305808E-02  -6.3059797E+00   1.7614787E+00
   1.0720290E+00   2.6650984E-02  -6.2732539E+00   1.7612236E+00
   1.0756156E+00   1.5715629E-02  -6.2326498E+00   1.7605627E+00
   1.0791782E+00   1.2971731E-02  -6.1523886E+00   1.7596577E+00
   1.0820159E+00   1.6799549E-02  -6.0749555E+00   1.7588683E+00
   1.0855509E+00   1.4570362E-02  -6.0588384E+00   1.7583244E+00
   1.0890775E+00   2.0295499E-02  -6.0152564E+00   1.7580261E+00
   1.0926001E+00   2.2169910E-02  -5.9960446E+00   1.7575436E+00
   1.0954176E+00   2.4045816E-02  -5.9218526E+00   1.7568988E+00
   1.0989411E+00   2.0176174E-02  -5.8622289E+00   1.7560049E+00
   1.1024684E+00   2.2417452E-02  -5.8127851E+00   1.7554430E+00
   1.1059767E+00   2.4746491E-02  -5.7873182E+00   1.7550672E+00
