  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   17:38:25  03/07/2024 ntjb     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1001      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   6.6167378E-01  -7.6412797E-02  -7.1324439E+00   1.8939183E+00
   6.6460031E-01  -1.8846549E-02  -7.1311636E+00   1.8943777E+00
   6.6801101E-01  -6.2269073E-02  -7.3506527E+00   1.8912462E+00
   6.7169940E-01   4.6643661E-03  -7.6311460E+00   1.8890811E+00
   6.7485559E-01   1.3979729E-01  -7.5281339E+00   1.8882473E+00
   6.7789054E-01  -2.4219695E-01  -7.6169629E+00   1.8868942E+00
   6.8149942E-01  -5.6073908E-02  -8.1651001E+00   1.8861797E+00
   6.8481070E-01   1.4859940E-01  -8.3753967E+00   1.8863415E+00
   6.8791878E-01  -7.6228231E-03  -8.2670507E+00   1.8849713E+00
   6.9188052E-01  -1.9687625E-02  -8.5891199E+00   1.8819510E+00
   6.9510180E-01   1.8804157E-01  -8.5805521E+00   1.8806459E+00
   6.9829917E-01  -2.4420494E-01  -8.9870386E+00   1.8798387E+00
   7.0142651E-01  -1.0465346E-01  -8.9085884E+00   1.8787020E+00
   7.0458198E-01  -5.2666221E-02  -9.1864300E+00   1.8766890E+00
   7.0847881E-01   2.4040883E-02  -9.2843857E+00   1.8746670E+00
   7.1160001E-01  -5.0750054E-02  -9.3817015E+00   1.8735077E+00
   7.1467966E-01   1.1858017E-02  -9.5161734E+00   1.8717099E+00
   7.1850365E-01   3.0230286E-02  -9.6031246E+00   1.8695544E+00
   7.2153550E-01  -1.4850283E-01  -9.7430000E+00   1.8688176E+00
   7.2454309E-01  -2.7917504E-02  -9.8899689E+00   1.8676987E+00
   7.2827369E-01  -5.7070558E-03  -1.0090019E+01   1.8658458E+00
   7.3122954E-01   6.5096468E-03  -1.0051109E+01   1.8638630E+00
   7.3489183E-01  -4.0468581E-02  -1.0232553E+01   1.8622291E+00
   7.3852211E-01  -7.2202799E-03  -1.0310321E+01   1.8614442E+00
   7.4140483E-01  -5.3833596E-02  -1.0451484E+01   1.8585538E+00
   7.4496377E-01  -8.4750719E-02  -1.0426611E+01   1.8570911E+00
   7.4850184E-01  -2.2734018E-02  -1.0629936E+01   1.8566564E+00
   7.5133032E-01   5.0522372E-02  -1.0647021E+01   1.8544728E+00
   7.5483739E-01  -7.2257958E-02  -1.0713000E+01   1.8518367E+00
   7.5834364E-01   8.2766689E-02  -1.1002435E+01   1.8500575E+00
   7.6181918E-01   3.0882990E-02  -1.0906555E+01   1.8494068E+00
   7.6530808E-01  -4.3928012E-02  -1.1088049E+01   1.8479644E+00
   7.6805657E-01   1.9451601E-02  -1.1057862E+01   1.8463337E+00
   7.7152157E-01  -1.3770577E-02  -1.1140544E+01   1.8447592E+00
   7.7492923E-01   7.7029952E-04  -1.1180912E+01   1.8424166E+00
   7.7832353E-01   1.4247528E-02  -1.1262144E+01   1.8419052E+00
   7.8169519E-01   3.9194198E-03  -1.1264443E+01   1.8412962E+00
   7.8506994E-01  -3.0090155E-02  -1.1304765E+01   1.8396821E+00
   7.8847611E-01  -7.9172775E-03  -1.1430936E+01   1.8371810E+00
   7.9186225E-01  -1.1008730E-01  -1.1421569E+01   1.8357915E+00
   7.9522461E-01  -1.9277705E-02  -1.1449122E+01   1.8344003E+00
   7.9860383E-01   1.7819852E-02  -1.1500099E+01   1.8325759E+00
   8.0191177E-01  -9.3047932E-02  -1.1407666E+01   1.8319203E+00
   8.0526578E-01   9.2424050E-02  -1.1516590E+01   1.8306258E+00
   8.0860728E-01  -1.0225105E-01  -1.1511510E+01   1.8287342E+00
   8.1192350E-01  -6.3145667E-02  -1.1430864E+01   1.8255566E+00
   8.1529003E-01  -7.0367374E-02  -1.1470118E+01   1.8262080E+00
   8.1865609E-01   1.1592489E-02  -1.1487948E+01   1.8263295E+00
   8.2196027E-01   8.1408918E-02  -1.1441595E+01   1.8239768E+00
   8.2530278E-01  -1.1857195E-01  -1.1518745E+01   1.8215518E+00
   8.2863718E-01  -1.1934723E-02  -1.1486531E+01   1.8205339E+00
   8.3194423E-01   6.8234350E-03  -1.1443709E+01   1.8200672E+00
   8.3528960E-01   6.3903444E-03  -1.1396975E+01   1.8187854E+00
   8.3866870E-01  -3.6557973E-03  -1.1383039E+01   1.8177439E+00
   8.4200001E-01  -2.1363596E-02  -1.1361703E+01   1.8164539E+00
   8.4531969E-01  -3.3535380E-02  -1.1272766E+01   1.8150421E+00
   8.4875464E-01  -2.1509619E-02  -1.1191664E+01   1.8125821E+00
   8.5152304E-01  -2.6137847E-02  -1.1162467E+01   1.8111045E+00
   8.5488319E-01  -4.4817187E-02  -1.1155553E+01   1.8116496E+00
   8.5885727E-01   1.8046359E-02  -1.1041698E+01   1.8096786E+00
   8.6154783E-01   2.8895587E-02  -1.0977868E+01   1.8081859E+00
   8.6500013E-01  -3.4954600E-02  -1.0998192E+01   1.8064175E+00
   8.6843264E-01  -3.1874049E-02  -1.0894666E+01   1.8053267E+00
   8.7174404E-01   3.6928121E-02  -1.0800784E+01   1.8035587E+00
   8.7503648E-01  -2.3236061E-02  -1.0800933E+01   1.8026118E+00
   8.7833321E-01  -6.8840483E-04  -1.0676457E+01   1.8017994E+00
   8.8163650E-01  -4.8891613E-03  -1.0621143E+01   1.7998965E+00
   8.8557893E-01  -1.2560311E-02  -1.0639266E+01   1.7983696E+00
   8.8881487E-01  -7.1676046E-02  -1.0431156E+01   1.7966462E+00
   8.9207554E-01  -1.0301571E-02  -1.0351100E+01   1.7948486E+00
