  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   11:24:45  02/13/2024 txso     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.376E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.8276508E-01   5.2188695E-03  -7.0550389E+00  -1.5054561E-01
   9.8594576E-01   7.9576056E-03  -7.0124779E+00  -1.4719513E-01
   9.8913145E-01   5.8536069E-03  -7.0021629E+00  -1.4364435E-01
   9.9232221E-01   1.0693358E-02  -6.9442348E+00  -1.4143933E-01
   9.9551857E-01  -7.4561033E-03  -6.9351954E+00  -1.3873474E-01
   9.9979019E-01   1.8751089E-02  -6.9047627E+00  -1.3130417E-01
   1.0030022E+00   1.3223539E-02  -6.8927679E+00  -1.2530974E-01
   1.0058542E+00  -3.5200459E-03  -6.6868148E+00  -1.1941528E-01
   1.0095880E+00   2.4398953E-02  -6.8528256E+00  -1.2467138E-01
   1.0125194E+00   6.1261561E-03  -6.8708129E+00  -1.1304355E-01
   1.0157032E+00   1.2920492E-02  -6.7744546E+00  -1.1485423E-01
   1.0200558E+00   3.4702432E-03  -6.6696215E+00  -1.0175229E-01
   1.0233315E+00   1.1573194E-03  -6.6795511E+00  -1.0586394E-01
   1.0266173E+00   9.6875150E-03  -6.6639700E+00  -1.0601174E-01
   1.0299129E+00   1.8093733E-02  -6.5987391E+00  -1.0854210E-01
   1.0331893E+00   7.2009210E-04  -6.5429811E+00  -9.7602159E-02
   1.0365092E+00  -1.0387253E-02  -6.5273409E+00  -9.5756754E-02
   1.0396293E+00  -1.1132738E-02  -6.4916415E+00  -9.0495296E-02
   1.0432885E+00  -9.4450917E-03  -6.4357376E+00  -8.6610220E-02
   1.0465251E+00  -7.8849858E-05  -6.4062858E+00  -8.6659878E-02
   1.0498056E+00  -1.0521654E-02  -6.3442616E+00  -8.0338962E-02
   1.0530194E+00  -1.3572877E-02  -6.2972755E+00  -7.7835634E-02
   1.0562267E+00  -1.1376123E-02  -6.2812519E+00  -7.5494781E-02
   1.0595464E+00  -8.9958888E-03  -6.2197566E+00  -6.9182269E-02
   1.0637499E+00  -1.2713553E-02  -6.1458745E+00  -6.5267958E-02
