  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   22:15:24  02/09/2024 jjxh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      500      0.000E+00      1.688E+00
   time              pfxob_1         pfyob_1         pfzob_1
   1.0167999E+00   9.0857685E-02  -8.5097332E+00   2.5700178E+00
   1.0198059E+00   8.1861109E-02  -8.4626150E+00   2.5690069E+00
   1.0228738E+00   7.8028247E-02  -8.4144716E+00   2.5636334E+00
   1.0259651E+00   1.1238188E-01  -8.4413652E+00   2.5648739E+00
   1.0290498E+00   7.3360428E-02  -8.2842016E+00   2.5635779E+00
   1.0336665E+00   2.9143784E-02  -8.2810287E+00   2.5621574E+00
   1.0367389E+00   1.0060862E-01  -8.2261038E+00   2.5631354E+00
   1.0398080E+00   1.3037787E-01  -8.1419516E+00   2.5617321E+00
   1.0428747E+00   1.2278021E-01  -8.0496140E+00   2.5622842E+00
   1.0459397E+00   1.1591149E-01  -8.0281229E+00   2.5646484E+00
   1.0505356E+00   9.0581782E-02  -7.9788914E+00   2.5611634E+00
   1.0536757E+00   9.8921992E-02  -7.9197097E+00   2.5525091E+00
   1.0569417E+00   8.2724147E-02  -7.8574061E+00   2.5599155E+00
   1.0602087E+00   6.6985719E-02  -7.8107681E+00   2.5563285E+00
   1.0634780E+00   7.8470975E-02  -7.7692165E+00   2.5546513E+00
   1.0667245E+00   7.7549800E-02  -7.7176924E+00   2.5584340E+00
   1.0698757E+00   1.0723207E-01  -7.6787167E+00   2.5648515E+00
   1.0728860E+00   1.3842948E-02  -7.5856547E+00   2.5475192E+00
   1.0773799E+00   9.4878180E-03  -7.4409442E+00   2.5522752E+00
   1.0805634E+00   6.7178793E-02  -7.3992920E+00   2.5556366E+00
   1.0837671E+00   9.3896508E-02  -7.3642516E+00   2.5550723E+00
   1.0869268E+00  -2.6010228E-02  -7.3322339E+00   2.5535340E+00
   1.0900396E+00   6.1615642E-02  -7.3018894E+00   2.5541241E+00
   1.0931143E+00   7.8334980E-02  -7.2715669E+00   2.5545053E+00
   1.0977012E+00   6.6151254E-02  -7.1272721E+00   2.5533128E+00
   1.1007795E+00   6.5604620E-02  -7.0662017E+00   2.5529218E+00
   1.1038766E+00   7.3925927E-02  -7.0571008E+00   2.5490234E+00
   1.1069691E+00   3.7230842E-02  -6.9316068E+00   2.5529926E+00
   1.1100372E+00   1.4008331E-02  -6.8963094E+00   2.5531809E+00
   1.1145654E+00   2.9441828E-02  -6.8560748E+00   2.5509801E+00
