  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   21:00:13  02/09/2024 bpnh     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1      554      0.000E+00      1.866E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.4890594E-01   8.8927545E-02  -9.6099377E+00   3.0558982E+00
   9.5142496E-01   8.9231379E-02  -9.5846205E+00   3.0562513E+00
   9.5522654E-01   7.9205401E-02  -9.5577726E+00   3.0597293E+00
   9.5924252E-01   3.7034377E-02  -9.4007244E+00   3.0545294E+00
   9.6226567E-01   4.6413995E-02  -9.3544912E+00   3.0521312E+00
   9.6536785E-01   2.7153810E-02  -9.3193254E+00   3.0502191E+00
   9.6843058E-01   5.3203188E-02  -9.2589035E+00   3.0513885E+00
   9.7301626E-01   5.5261176E-02  -9.1352558E+00   3.0489383E+00
   9.7610104E-01   5.5899616E-02  -9.0845451E+00   3.0445211E+00
   9.7918797E-01   7.8340590E-02  -9.0524282E+00   3.0410075E+00
   9.8224276E-01   1.1889648E-01  -8.9325848E+00   3.0403321E+00
   9.8523808E-01   1.2301040E-01  -8.8597231E+00   3.0275784E+00
   9.8969537E-01   5.1373120E-02  -8.8180904E+00   3.0290923E+00
   9.9239939E-01   9.0136476E-02  -8.8078642E+00   3.0228801E+00
   9.9623477E-01  -9.3535622E-05  -8.7117100E+00   3.0298293E+00
   9.9886250E-01   3.6506534E-02  -8.6747580E+00   3.0347793E+00
   1.0028831E+00   8.2989290E-02  -8.5598640E+00   3.0330656E+00
   1.0058596E+00   8.3141603E-02  -8.5301790E+00   3.0302157E+00
   1.0088290E+00   8.1141129E-02  -8.4728174E+00   3.0315673E+00
   1.0132103E+00   8.2299165E-02  -8.3846884E+00   3.0356312E+00
   1.0161213E+00   5.7171673E-02  -8.3563166E+00   3.0278063E+00
   1.0190408E+00   1.2041550E-02  -8.3328505E+00   3.0344033E+00
   1.0232930E+00   8.1488103E-02  -8.1404800E+00   3.0275199E+00
   1.0260315E+00   2.0716745E-02  -8.2037907E+00   3.0207143E+00
   1.0300126E+00   1.9242698E-02  -8.2003946E+00   3.0249321E+00
   1.0325912E+00   7.0335291E-02  -7.9873090E+00   3.0254354E+00
   1.0363594E+00   8.6982027E-02  -7.9691124E+00   3.0280764E+00
   1.0400206E+00   4.8106998E-02  -7.9218607E+00   3.0251398E+00
   1.0435865E+00   4.0608048E-02  -7.8369894E+00   3.0297046E+00
   1.0468397E+00   5.9815370E-02  -7.7637630E+00   3.0228894E+00
   1.0501508E+00   5.2394856E-02  -7.7403345E+00   3.0284047E+00
   1.0530261E+00   7.3557571E-02  -7.7095423E+00   3.0268741E+00
   1.0567563E+00   4.1824788E-02  -7.5731802E+00   3.0284863E+00
   1.0599753E+00   1.6752537E-02  -7.5439472E+00   3.0291638E+00
   1.0631800E+00   2.5215283E-02  -7.5047970E+00   3.0301266E+00
   1.0670753E+00   6.4593047E-02  -7.4379969E+00   3.0299385E+00
   1.0705384E+00  -2.0513454E-02  -7.4098897E+00   3.0292442E+00
   1.0731453E+00  -3.8652487E-02  -7.3840218E+00   3.0309801E+00
   1.0773683E+00   7.3578030E-02  -7.2851181E+00   3.0320504E+00
   1.0802002E+00   6.0208067E-02  -7.2017398E+00   3.0288532E+00
   1.0830301E+00   6.8980195E-02  -7.1896062E+00   3.0314589E+00
   1.0872630E+00   4.1988809E-02  -7.0386515E+00   3.0270863E+00
   1.0900608E+00   1.5047260E-02  -6.9374390E+00   3.0183864E+00
   1.0941931E+00   7.8552403E-02  -6.9377265E+00   3.0161598E+00
   1.0969149E+00   2.0047043E-02  -6.9461331E+00   3.0227122E+00
   1.1009539E+00   2.3592144E-02  -6.9132361E+00   3.0251987E+00
   1.1036204E+00  -3.5833060E-03  -6.8626142E+00   3.0273774E+00
   1.1075732E+00   2.7604250E-02  -6.7750511E+00   3.0274730E+00
   1.1101762E+00   1.8701119E-02  -6.6716309E+00   3.0261638E+00
   1.1140362E+00  -3.3513162E-02  -6.6269178E+00   3.0282490E+00
   1.1178538E+00   2.0464407E-03  -6.5501595E+00   3.0268424E+00
   1.1203836E+00   4.6596382E-02  -6.4108825E+00   3.0256593E+00
   1.1241797E+00  -4.8326142E-02  -6.3525763E+00   3.0228226E+00
   1.1280106E+00  -3.2962023E-03  -6.3506303E+00   3.0242953E+00
   1.1305723E+00  -3.3677194E-02  -6.3808680E+00   3.0239227E+00
   1.1344285E+00  -1.0529251E-02  -6.3098021E+00   3.0217276E+00
   1.1382974E+00   4.3504104E-02  -6.2913966E+00   3.0208168E+00
   1.1408886E+00   3.1274974E-03  -6.2007833E+00   3.0178602E+00
   1.1447767E+00  -4.8938938E-03  -6.1095243E+00   3.0151489E+00
