  flscon:  version 23.2.0.01  win64 2022 
 FLOW-3D   05:11:31  02/29/2024 jcer     
   hydr3d   version  23.2.0.20 win64     12/04/2023 HYDRO    
 Simulation Template: Free Surface - TruVOF (Default)                            

Mesh Block   1
 printing pfxob, pfyob, pfzob       
       1     1002      0.000E+00      3.341E+00
   time              pfxob_1         pfyob_1         pfzob_1
   9.2879075E-01   6.6463524E-03  -7.6508365E+00   6.5852708E-01
   9.3159699E-01   1.4086705E-02  -7.6748657E+00   6.6104072E-01
   9.3578649E-01   1.0626992E-02  -7.6418266E+00   6.5786016E-01
   9.3912452E-01  -2.1557203E-02  -7.6689529E+00   6.5679306E-01
   9.4250530E-01   6.2261038E-03  -7.6608315E+00   6.5880579E-01
   9.4573617E-01   2.0084029E-02  -7.6759925E+00   6.7083293E-01
   9.4922024E-01   6.6045672E-03  -7.6757050E+00   6.6027516E-01
   9.5262748E-01   2.3182083E-02  -7.6780329E+00   6.6106015E-01
   9.5592266E-01   2.9158308E-03  -7.7001004E+00   6.6432863E-01
   9.5925063E-01   2.0587420E-02  -7.6871295E+00   6.6402596E-01
   9.6230364E-01  -8.0572469E-03  -7.6588578E+00   6.6388208E-01
   9.6537876E-01   8.5767424E-03  -7.6774268E+00   6.6511858E-01
   9.6909672E-01   1.8521262E-02  -7.6808891E+00   6.6566557E-01
   9.7235268E-01   8.2032353E-04  -7.6620479E+00   6.7103177E-01
   9.7548521E-01   1.8883903E-02  -7.6676574E+00   6.7535514E-01
   9.7875196E-01   1.9107915E-02  -7.6575999E+00   6.7707825E-01
   9.8257381E-01   2.5439337E-03  -7.6138926E+00   6.8514317E-01
   9.8548836E-01   2.2351628E-03  -7.6082358E+00   6.8924946E-01
   9.8843592E-01  -1.0950302E-03  -7.5773034E+00   6.8724561E-01
   9.9231869E-01   4.0437672E-02  -7.5572581E+00   6.8966162E-01
   9.9516839E-01   1.2313766E-02  -7.5767884E+00   6.9209987E-01
   9.9888355E-01   5.1172129E-03  -7.5413227E+00   6.9343692E-01
   1.0025234E+00   2.5760822E-02  -7.5223370E+00   6.9484836E-01
   1.0055243E+00   2.7500717E-02  -7.4902534E+00   7.0001572E-01
   1.0089079E+00   9.2815263E-03  -7.4510207E+00   7.0147765E-01
   1.0120939E+00   2.0472653E-02  -7.4445815E+00   7.0463479E-01
   1.0154201E+00   2.1416971E-02  -7.4418993E+00   7.0532471E-01
   1.0187805E+00   1.9178610E-02  -7.3865213E+00   7.0855397E-01
   1.0221142E+00   1.0218059E-02  -7.4004178E+00   7.1013033E-01
   1.0252939E+00   2.3146339E-04  -7.3400359E+00   7.1111202E-01
   1.0285797E+00   1.1431905E-02  -7.3392439E+00   7.1176624E-01
   1.0318440E+00   2.5779350E-02  -7.2646365E+00   7.1248513E-01
   1.0350885E+00   1.1322537E-02  -7.2549376E+00   7.1463728E-01
   1.0393924E+00   2.3015408E-02  -7.2175565E+00   7.1729648E-01
   1.0426171E+00   2.0533549E-03  -7.1904225E+00   7.1803260E-01
   1.0458493E+00   2.1085581E-02  -7.1897459E+00   7.1860182E-01
   1.0490940E+00   1.6612280E-02  -7.1343102E+00   7.2079754E-01
   1.0523530E+00   1.5860733E-02  -7.1031752E+00   7.2186279E-01
   1.0555302E+00   1.9491835E-02  -7.0653648E+00   7.2419411E-01
   1.0587521E+00   1.3915200E-02  -7.0379667E+00   7.2439939E-01
   1.0619829E+00   1.7401095E-02  -7.0144258E+00   7.2196698E-01
   1.0661062E+00   1.8862240E-02  -7.0028110E+00   7.2605067E-01
   1.0691406E+00   8.0948640E-03  -6.9010749E+00   7.2600120E-01
   1.0726321E+00   2.4906851E-02  -6.9055891E+00   7.2761428E-01
   1.0751071E+00  -3.1891558E-03  -6.8477378E+00   7.2678638E-01
   1.0791844E+00   1.9775219E-02  -6.8107233E+00   7.2483146E-01
   1.0821093E+00   2.5036016E-02  -6.7583313E+00   7.2354698E-01
   1.0854955E+00   1.9719288E-02  -6.7375998E+00   7.2693008E-01
   1.0893257E+00   1.0171748E-02  -6.7263145E+00   7.2854233E-01
   1.0919149E+00   2.2287974E-02  -6.7071304E+00   7.2751635E-01
   1.0952148E+00   1.0623027E-02  -6.6410041E+00   7.2624928E-01
   1.0986130E+00   1.4488860E-02  -6.5969281E+00   7.2606951E-01
   1.1022779E+00   1.1732987E-02  -6.5512300E+00   7.2891551E-01
   1.1054368E+00   2.6730055E-02  -6.4553952E+00   7.2913706E-01
   1.1094872E+00   1.0522541E-02  -6.4638467E+00   7.2902966E-01
   1.1130469E+00   1.1207473E-02  -6.4230480E+00   7.3056960E-01
   1.1156418E+00   1.3897804E-02  -6.3742585E+00   7.3127806E-01
   1.1195073E+00   3.8205727E-03  -6.3841252E+00   7.3053700E-01
   1.1220695E+00   1.4185249E-02  -6.2634530E+00   7.3125261E-01
   1.1258512E+00   1.5912905E-02  -6.2255282E+00   7.2937310E-01
   1.1295296E+00   1.1938996E-02  -6.2112737E+00   7.2978699E-01
   1.1327654E+00  -1.2462182E-02  -6.1782327E+00   7.3339862E-01
   1.1359463E+00   1.4734671E-02  -6.1064577E+00   7.3325574E-01
